Student_ID,Student,Math,Science,English,Computer,Attendance
1,Aarav,85,78,92,88,95
2,Diya,72,81,75,79,88
3,Arjun,91,89,84,95,97
4,Ananya,65,70,68,72,76
5,Rohan,88,94,90,91,93
6,Ishita,76,85,79,82,89
7,Vivaan,95,92,88,96,98
8,Meera,69,74,81,70,82
9,Aditya,82,77,85,89,91
10,Saanvi,90,86,93,94,96
11,Kabir,58,65,62,68,71
12,Navya,79,83,87,80,86
13,Reyansh,87,91,78,90,94
14,Myra,73,69,76,75,79
15,Krishna,94,88,91,97,99
16,Kiara,67,72,70,65,74
17,Atharv,81,80,84,86,90
18,Pari,89,93,88,92,95
19,Ved,61,68,64,70,69
20,Riya,84,87,90,85,92
